domain1_score,essay_set,words_count,sentence_count,avg_sentence_length,total_spelling_errors,total_sentence_errors
8,1,343,30,11,16,4
8,1,347,18,19,9,32
11,1,642,33,19,12,23
10,1,468,30,15,6,12
8,1,286,19,15,21,21
9,1,378,23,16,23,15
10,1,706,45,15,26,22
9,1,345,16,21,16,10
11,1,529,33,16,7,3
10,1,281,23,12,7,32
8,1,215,9,23,2,6
11,1,527,22,23,6,13
9,1,348,27,12,11,34
8,1,277,14,19,8,10
9,1,456,26,17,7,17
9,1,360,26,13,6,13
10,1,426,17,25,20,10
12,1,680,27,25,13,3
7,1,259,12,21,3,29
8,1,321,14,22,16,14
8,1,266,15,17,11,10
8,1,404,26,15,8,21
9,1,354,33,10,28,6
7,1,221,10,22,5,3
5,1,127,10,12,1,12
8,1,254,15,16,2,29
6,1,218,13,16,4,6
8,1,271,17,15,10,25
8,1,255,16,15,5,12
7,1,195,8,24,6,34
2,1,8,1,8,0,15
6,1,180,10,18,4,8
10,1,540,44,12,11,13
10,1,470,24,19,16,11
8,1,262,10,26,7,25
11,1,592,24,24,7,27
9,1,427,24,17,17,14
8,1,364,25,14,8,11
8,1,342,17,20,3,30
9,1,307,21,14,5,34
8,1,237,13,18,5,29
10,1,606,28,21,12,30
8,1,319,20,15,4,16
10,1,455,25,18,11,28
8,1,271,18,15,4,8
7,1,405,9,45,14,25
4,1,159,5,31,5,1
8,1,452,17,26,22,30
10,1,456,21,21,18,26
11,1,468,27,17,8,18
9,1,466,29,16,7,17
10,1,307,12,25,10,29
10,1,470,34,13,11,10
7,1,245,18,13,5,12
11,1,489,28,17,11,29
8,1,247,13,19,6,16
11,1,617,35,17,9,33
10,1,441,21,21,3,32
8,1,315,16,19,3,22
7,1,273,18,15,3,30
8,1,302,20,15,8,4
10,1,420,22,19,9,16
12,1,532,19,28,18,24
8,1,381,28,13,2,5
8,1,306,23,13,14,9
7,1,164,13,12,4,4
6,1,170,9,18,9,14
7,1,353,13,27,22,33
10,1,550,31,17,16,34
10,1,416,13,32,15,11
8,1,423,20,21,9,28
8,1,349,22,15,5,21
6,1,158,8,19,12,30
8,1,289,18,16,11,22
8,1,482,32,15,15,21
8,1,378,10,37,12,33
9,1,700,35,20,14,31
8,1,431,11,39,27,23
8,1,375,24,15,2,25
8,1,305,15,20,7,5
8,1,344,16,21,3,15
8,1,329,15,21,6,18
12,1,498,28,17,2,31
10,1,446,32,13,11,26
9,1,392,17,23,8,23
8,1,347,22,15,6,8
7,1,340,25,13,11,21
6,1,166,14,11,1,32
8,1,256,10,25,11,32
12,1,596,33,18,10,6
6,1,219,20,10,2,31
8,1,257,16,16,10,30
6,1,212,11,19,1,3
7,1,332,12,27,6,26
9,1,506,29,17,15,26
9,1,468,23,20,7,31
10,1,466,23,20,8,6
9,1,439,19,23,4,22
11,1,504,27,18,15,4
8,1,327,10,32,4,17
9,1,387,31,12,7,19
8,1,566,39,14,9,6
11,1,482,21,22,14,20
8,1,284,25,11,15,2
11,1,474,33,14,13,27
7,1,342,12,28,18,15
11,1,619,32,19,27,6
8,1,393,24,16,12,30
8,1,335,22,15,7,8
8,1,305,24,12,13,20
10,1,441,15,29,15,31
8,1,309,17,18,2,9
8,1,403,27,14,8,11
10,1,410,22,18,15,17
8,1,285,8,35,5,26
8,1,334,16,20,9,28
8,1,237,12,19,3,13
10,1,455,24,18,11,4
11,1,515,27,19,13,8
9,1,419,19,22,11,4
2,1,23,1,23,0,33
7,1,284,16,17,4,13
8,1,369,24,15,4,6
7,1,203,10,20,5,2
9,1,414,36,11,6,9
8,1,464,27,17,10,21
4,1,90,3,30,8,34
7,1,348,14,24,12,9
10,1,489,29,16,5,14
9,1,275,15,18,3,21
8,1,291,12,24,5,9
8,1,466,26,17,8,32
8,1,346,30,11,5,24
8,1,357,17,21,9,29
8,1,430,29,14,16,32
7,1,266,16,16,4,22
8,1,303,11,27,9,33
9,1,334,17,19,1,5
8,1,321,21,15,7,32
8,1,187,9,20,4,18
9,1,374,22,17,15,3
8,1,339,16,21,6,7
8,1,259,27,9,0,25
12,1,511,30,17,17,31
7,1,278,16,17,7,20
6,1,128,10,12,4,32
9,1,461,23,20,9,3
8,1,362,20,18,20,32
6,1,180,10,18,10,3
8,1,374,19,19,3,12
10,1,459,33,13,9,10
8,1,311,18,17,7,23
10,1,467,23,20,7,5
9,1,390,31,12,24,32
9,1,405,14,28,8,12
7,1,207,13,15,10,27
10,1,485,34,14,9,7
9,1,498,19,26,21,15
8,1,309,16,19,12,4
8,1,324,24,13,9,27
9,1,522,29,18,33,13
8,1,531,37,14,7,5
8,1,368,12,30,13,13
7,1,307,8,38,8,22
8,1,276,13,21,22,6
9,1,413,32,12,10,16
8,1,305,21,14,9,7
9,1,316,17,18,15,17
9,1,647,31,20,14,1
12,1,533,24,22,17,20
9,1,406,32,12,2,24
10,1,405,36,11,4,27
8,1,353,21,16,15,30
7,1,129,5,25,8,11
8,1,235,10,23,1,7
10,1,491,30,16,15,15
10,1,406,21,19,16,3
7,1,282,10,28,6,27
10,1,620,47,13,19,22
9,1,304,15,20,11,25
11,1,404,16,25,6,4
7,1,256,21,12,7,13
8,1,260,14,18,3,8
8,1,302,8,37,10,29
8,1,390,27,14,9,27
8,1,221,15,14,10,10
8,1,304,15,20,6,29
8,1,444,33,13,5,2
8,1,386,23,16,19,21
8,1,318,19,16,7,22
12,1,507,32,15,13,29
6,1,273,11,24,4,33
7,1,239,14,17,13,1
9,1,427,32,13,12,7
10,1,483,23,21,9,6
8,1,384,32,12,3,10
9,1,344,19,18,1,25
7,1,286,15,19,5,25
8,1,243,17,14,7,21
6,1,192,11,17,5,8
7,1,229,6,38,8,6
10,1,408,21,19,20,2
10,1,402,21,19,4,8
8,1,387,23,16,16,0
8,1,442,27,16,7,7
11,1,750,35,21,20,0
8,1,356,17,20,6,11
8,1,331,22,15,6,16
8,1,331,21,15,7,34
8,1,328,15,21,6,24
9,1,376,9,41,12,23
8,1,347,17,20,2,15
8,1,417,34,12,11,12
10,1,527,37,14,8,24
8,1,300,28,10,10,27
8,1,339,18,18,7,30
2,1,16,2,8,0,27
6,1,158,6,26,15,15
8,1,372,23,16,0,17
8,1,384,11,34,3,7
8,1,333,15,22,7,23
10,1,593,35,16,12,33
8,1,379,19,19,16,17
6,1,200,13,15,1,10
8,1,412,22,18,31,28
8,1,415,19,21,12,26
11,1,526,27,19,17,19
10,1,529,29,18,3,17
10,1,548,37,14,10,27
10,1,468,22,21,6,23
12,1,504,22,22,8,17
8,1,370,15,24,14,5
8,1,329,19,17,1,8
10,1,478,20,23,14,33
7,1,183,13,14,8,18
8,1,418,22,19,15,2
9,1,466,22,21,15,17
8,1,265,19,13,9,2
8,1,255,11,23,8,16
8,1,421,26,16,11,31
8,1,319,16,19,10,1
8,1,486,22,22,19,27
9,1,365,21,17,7,17
11,1,557,28,19,5,5
10,1,590,38,15,19,32
8,1,257,23,11,5,33
10,1,414,23,18,4,25
8,1,367,17,21,12,3
6,1,148,7,21,7,8
9,1,266,15,17,19,14
8,1,351,20,17,9,7
8,1,477,26,18,7,28
8,1,379,24,15,16,27
11,1,387,34,11,9,1
9,1,488,20,24,7,14
9,1,528,15,35,5,22
11,1,628,28,22,14,26
8,1,297,21,14,8,31
9,1,403,27,14,11,10
10,1,524,27,19,35,24
5,1,101,6,16,2,34
6,1,148,13,11,6,10
8,1,377,23,16,11,23
8,1,235,21,11,15,4
10,1,368,20,18,9,31
7,1,197,16,12,7,14
8,1,270,13,20,9,0
6,1,170,5,34,5,32
8,1,461,19,24,4,25
8,1,344,17,20,16,11
8,1,417,22,18,17,10
6,1,213,3,71,4,12
8,1,213,15,14,5,20
8,1,242,10,24,6,6
11,1,696,33,21,21,24
9,1,307,20,15,11,18
6,1,197,3,65,4,0
8,1,460,21,21,12,29
9,1,438,26,16,5,18
7,1,373,17,21,9,15
7,1,260,8,32,2,2
7,1,259,16,16,14,8
9,1,405,15,27,15,20
10,1,437,32,13,26,27
8,1,345,25,13,2,24
6,1,270,20,13,19,14
9,1,418,24,17,9,29
8,1,329,9,36,6,1
9,1,431,21,20,4,4
8,1,438,32,13,34,13
11,1,563,32,17,7,20
7,1,192,17,11,1,6
8,1,191,4,47,8,23
8,1,266,19,14,1,16
6,1,187,8,23,6,7
8,1,293,23,12,7,2
11,1,451,6,75,11,12
7,1,251,11,22,3,12
8,1,258,12,21,2,9
11,1,290,17,17,6,9
11,1,432,34,12,15,14
8,1,400,22,18,13,12
6,1,181,15,12,4,17
10,1,411,21,19,7,3
8,1,391,22,17,14,16
5,1,178,3,59,7,13
10,1,452,41,11,15,28
9,1,320,17,18,12,23
8,1,355,27,13,10,9
8,1,297,18,16,12,10
6,1,208,7,29,15,2
7,1,311,13,23,4,30
7,1,237,18,13,2,12
8,1,451,30,15,19,26
10,1,532,33,16,17,34
8,1,322,21,15,6,8
8,1,371,25,14,6,24
9,1,306,15,20,11,8
11,1,296,19,15,14,9
6,1,181,22,8,11,14
8,1,276,17,16,2,22
10,1,453,25,18,13,12
8,1,320,21,15,17,24
9,1,228,15,15,2,3
8,1,302,19,15,8,16
10,1,450,30,15,5,28
7,1,214,7,30,4,16
9,1,429,16,26,3,19
9,1,394,26,15,13,32
8,1,343,16,21,10,9
10,1,405,23,17,15,5
11,1,455,25,18,12,26
8,1,265,16,16,12,13
6,1,197,9,21,3,20
8,1,385,19,20,7,23
9,1,442,25,17,19,23
7,1,246,13,18,11,19
8,1,420,19,22,18,15
9,1,367,17,21,5,15
10,1,397,36,11,10,34
8,1,451,25,18,5,5
8,1,383,18,21,9,1
8,1,256,15,17,18,19
9,1,425,21,20,5,4
6,1,121,5,24,2,24
8,1,222,17,13,5,1
8,1,425,15,28,10,31
8,1,241,11,21,9,0
8,1,278,12,23,3,26
8,1,561,24,23,21,10
8,1,333,22,15,5,24
9,1,486,16,30,10,30
8,1,357,21,17,3,20
11,1,517,33,15,27,2
10,1,516,34,15,2,2
8,1,317,24,13,2,6
8,1,321,21,15,10,19
9,1,403,26,15,12,27
8,1,328,21,15,4,33
9,1,286,14,20,14,24
8,1,397,18,22,8,24
9,1,365,27,13,1,11
6,1,176,6,29,4,0
6,1,171,3,57,4,31
8,1,324,11,29,4,25
8,1,327,21,15,7,25
9,1,375,22,17,6,18
8,1,258,14,18,4,27
8,1,342,22,15,9,8
6,1,238,7,34,9,17
12,1,774,27,28,17,32
8,1,276,16,17,18,33
8,1,344,32,10,10,8
6,1,162,7,23,0,20
8,1,384,12,32,13,5
7,1,233,12,19,18,29
8,1,445,21,21,17,17
10,1,423,35,12,8,14
8,1,337,12,28,14,3
9,1,360,20,18,3,25
10,1,539,33,16,21,22
11,1,404,14,28,11,20
10,1,443,10,44,8,34
9,1,388,21,18,5,14
10,1,338,20,16,8,11
9,1,406,22,18,5,30
8,1,161,13,12,4,26
9,1,331,17,19,1,3
8,1,258,29,8,3,17
10,1,471,16,29,14,23
7,1,261,17,15,7,14
10,1,562,26,21,13,30
9,1,389,19,20,13,6
10,1,576,37,15,25,6
10,1,544,31,17,6,16
8,1,240,17,14,4,29
6,1,174,8,21,8,15
10,1,351,23,15,17,3
6,1,155,8,19,1,12
8,1,341,19,17,17,24
7,1,202,16,12,5,20
10,1,537,28,19,8,25
8,1,503,24,20,30,28
9,1,313,17,18,8,25
8,1,119,9,13,0,2
10,1,465,34,13,20,29
9,1,456,23,19,10,14
10,1,407,23,17,17,26
8,1,399,23,17,8,24
6,1,244,9,27,6,13
9,1,339,26,13,10,4
8,1,473,19,24,3,0
8,1,307,15,20,13,31
10,1,566,40,14,13,33
10,1,449,25,17,19,26
9,1,322,19,16,6,9
9,1,463,14,33,33,18
8,1,336,23,14,4,28
8,1,215,12,17,3,0
8,1,422,24,17,5,29
10,1,456,32,14,2,30
8,1,351,14,25,16,7
8,1,344,19,18,10,34
7,1,209,10,20,1,4
8,1,279,9,31,4,1
9,1,366,21,17,13,6
9,1,518,23,22,17,33
8,1,314,11,28,7,10
9,1,383,23,16,7,16
8,1,355,20,17,14,33
10,1,369,25,14,10,0
9,1,362,19,19,1,23
8,1,272,12,22,26,28
10,1,452,36,12,13,10
8,1,224,23,9,2,18
9,1,573,27,21,13,33
7,1,246,20,12,20,12
8,1,251,8,31,3,3
8,1,353,26,13,14,4
8,1,439,17,25,6,8
10,1,536,30,17,8,16
8,1,325,23,14,2,30
9,1,448,19,23,8,4
10,1,503,31,16,11,6
8,1,425,28,15,2,3
8,1,388,17,22,15,25
7,1,216,24,9,8,2
7,1,188,6,31,10,4
10,1,520,35,14,7,31
9,1,430,14,30,14,5
8,1,312,16,19,5,28
9,1,477,19,25,14,26
10,1,513,27,19,7,8
11,1,481,27,17,7,0
7,1,283,13,21,5,6
10,1,551,28,19,13,29
8,1,455,22,20,8,20
8,1,287,23,12,5,28
8,1,360,21,17,7,3
8,1,364,15,24,7,9
7,1,224,5,44,24,3
9,1,417,20,20,2,34
8,1,294,19,15,10,14
8,1,332,25,13,15,34
11,1,498,31,16,5,16
8,1,404,25,16,14,28
8,1,384,21,18,4,6
8,1,309,21,14,2,11
10,1,505,33,15,18,1
9,1,669,35,19,10,15
8,1,284,14,20,6,5
10,1,422,19,22,2,13
9,1,488,45,10,24,3
8,1,325,19,17,7,17
6,1,265,16,16,4,3
8,1,196,13,15,1,34
9,1,419,25,16,5,5
6,1,203,20,10,4,11
11,1,440,28,15,13,28
7,1,208,12,17,6,23
9,1,353,36,9,15,6
8,1,304,24,12,6,19
8,1,331,19,17,6,4
8,1,243,13,18,7,3
8,1,308,11,28,13,28
8,1,373,23,16,6,19
10,1,387,24,16,13,5
9,1,365,18,20,16,24
12,1,621,43,14,33,28
8,1,242,16,15,6,1
8,1,294,16,18,3,15
5,1,173,7,24,0,3
9,1,327,18,18,7,10
8,1,353,11,32,37,6
8,1,332,21,15,10,15
9,1,485,33,14,21,4
6,1,227,17,13,10,5
10,1,337,23,14,10,22
6,1,117,9,13,2,28
9,1,586,45,13,13,23
8,1,366,23,15,11,7
10,1,377,27,13,9,21
8,1,340,25,13,8,19
2,1,20,1,20,0,12
9,1,519,30,17,13,16
10,1,500,33,15,17,4
10,1,538,24,22,7,27
8,1,333,26,12,20,25
8,1,458,9,50,23,13
5,1,98,7,14,10,31
10,1,478,32,14,8,28
8,1,347,20,17,0,0
7,1,180,11,16,4,22
8,1,385,18,21,16,21
8,1,324,15,21,11,11
8,1,300,25,12,7,33
10,1,400,24,16,11,13
8,1,314,17,18,3,24
12,1,630,29,21,15,26
6,1,228,16,14,2,20
7,1,202,8,25,7,27
10,1,408,22,18,11,25
9,1,453,25,18,11,15
10,1,472,36,13,1,28
9,1,464,29,16,11,24
8,1,424,36,11,21,30
8,1,259,15,17,6,29
10,1,421,21,20,24,1
8,1,187,5,37,4,13
9,1,423,25,16,7,24
12,1,525,32,16,4,30
8,1,296,24,12,3,11
8,1,272,19,14,25,16
8,1,398,17,23,6,20
10,1,665,29,22,42,16
10,1,422,18,23,15,5
8,1,332,18,18,2,6
7,1,231,17,13,4,22
8,1,344,17,20,5,14
12,1,481,26,18,12,26
6,1,145,4,36,7,6
9,1,410,18,22,11,18
10,1,478,42,11,17,1
8,1,266,19,14,12,27
9,1,337,9,37,6,0
12,1,525,38,13,8,21
11,1,636,31,20,12,4
8,1,301,28,10,6,22
11,1,490,24,20,28,17
9,1,364,24,15,32,11
8,1,387,20,19,6,25
10,1,399,25,15,16,17
8,1,272,18,15,9,13
9,1,381,22,17,3,29
9,1,425,24,17,5,15
8,1,313,15,20,7,5
7,1,412,16,25,9,24
11,1,477,25,19,7,18
9,1,343,35,9,4,28
10,1,495,14,35,4,1
8,1,311,20,15,6,11
8,1,350,23,15,12,12
9,1,468,27,17,12,20
10,1,463,33,14,6,5
4,1,136,15,9,4,33
10,1,300,18,16,5,32
10,1,525,25,21,14,19
8,1,240,12,20,4,28
9,1,528,24,22,11,31
8,1,359,14,25,8,32
8,1,368,21,17,4,7
10,1,346,17,20,11,0
8,1,337,7,48,25,24
10,1,488,29,16,2,14
8,1,325,20,16,2,30
8,1,349,15,23,12,10
6,1,189,9,21,4,21
11,1,490,28,17,10,21
9,1,353,17,20,14,7
10,1,507,21,24,39,25
10,1,453,23,19,19,6
8,1,416,22,18,4,18
8,1,219,13,16,5,19
10,1,542,33,16,9,12
10,1,581,32,18,8,5
9,1,387,20,19,2,28
10,1,503,25,20,16,10
11,1,528,35,15,18,33
6,1,191,9,21,3,17
10,1,669,40,16,11,34
11,1,397,19,20,3,24
8,1,422,28,15,8,34
8,1,253,18,14,2,6
8,1,336,21,16,10,1
6,1,201,15,13,2,2
8,1,434,17,25,11,7
7,1,231,14,16,6,3
7,1,215,15,14,3,29
7,1,257,18,14,10,3
10,1,352,29,12,5,0
10,1,419,31,13,4,23
8,1,267,18,14,4,7
8,1,285,15,19,1,12
12,1,610,13,46,24,19
8,1,234,17,13,6,20
8,1,351,21,16,7,14
9,1,476,25,19,14,10
7,1,222,9,24,2,34
11,1,489,21,23,13,0
11,1,472,23,20,5,34
6,1,185,8,23,3,14
8,1,385,15,25,8,13
12,1,421,23,18,10,22
9,1,448,29,15,19,12
9,1,365,18,20,7,8
8,1,261,10,26,11,12
8,1,271,25,10,5,32
8,1,420,31,13,12,0
10,1,436,35,12,11,23
9,1,441,23,19,4,9
8,1,352,21,16,15,24
10,1,448,27,16,11,3
7,1,458,28,16,5,26
8,1,411,24,17,6,15
12,1,417,20,20,7,0
10,1,498,16,31,11,26
8,1,336,23,14,6,8
9,1,369,31,11,6,31
9,1,403,23,17,11,30
8,1,269,16,16,3,14
9,1,391,22,17,13,21
7,1,224,11,20,19,0
8,1,368,25,14,11,29
9,1,420,27,15,14,16
8,1,277,11,25,8,16
11,1,519,25,20,14,5
7,1,341,10,34,13,27
7,1,228,15,15,3,15
11,1,429,29,14,9,17
9,1,339,19,17,5,6
8,1,268,23,11,5,0
11,1,634,33,19,19,19
9,1,335,24,13,15,33
8,1,489,26,18,5,17
6,1,230,18,12,3,3
2,1,53,3,17,2,6
8,1,260,15,17,2,21
8,1,336,17,19,12,8
7,1,252,23,10,13,8
8,1,247,9,27,8,12
10,1,483,30,16,6,9
10,1,491,28,17,27,32
8,1,303,14,21,12,11
8,1,301,10,30,5,30
8,1,599,36,16,6,25
8,1,311,27,11,8,22
9,1,402,24,16,8,0
11,1,587,39,15,9,18
8,1,331,23,14,15,34
8,1,301,20,15,6,14
9,1,379,20,18,13,23
8,1,322,30,10,10,28
6,1,160,8,20,4,7
5,1,102,5,20,1,19
9,1,296,24,12,3,18
9,1,407,17,23,9,30
4,1,126,5,25,3,28
